ID	ABCG2	Type	CancerType
TCGA-XF-A9T2-01A	1.118496751	Tumor	BLCA
TCGA-CF-A9FH-01A	0.530179326	Tumor	BLCA
TCGA-ZF-AA4X-01A	0.319085454	Tumor	BLCA
TCGA-XF-AAMQ-01A	0.8311712	Tumor	BLCA
TCGA-CF-A3MH-01A	0.470687218	Tumor	BLCA
TCGA-DK-AA6W-01A	0.246908516	Tumor	BLCA
TCGA-KQ-A41O-01A	0.1156502	Tumor	BLCA
TCGA-FJ-A3Z7-01A	2.743298	Tumor	BLCA
TCGA-S5-AA26-01A	0.3542434	Tumor	BLCA
TCGA-FD-A3B4-01A	0.4369828	Tumor	BLCA
TCGA-GC-A3OO-01A	0.396199906	Tumor	BLCA
TCGA-XF-A9SP-01A	0.613334738	Tumor	BLCA
TCGA-FD-A3SL-01A	0.7707556	Tumor	BLCA
TCGA-FD-A6TB-01A	0.3161496	Tumor	BLCA
TCGA-FD-A6TA-01A	0.502957038	Tumor	BLCA
TCGA-XF-A8HB-01A	0.7921422	Tumor	BLCA
TCGA-UY-A8OB-01A	1.844906966	Tumor	BLCA
TCGA-GU-A767-01A	1.585623332	Tumor	BLCA
TCGA-FD-A43U-01A	0.304045441	Tumor	BLCA
TCGA-DK-AA6T-01A	1.921948029	Tumor	BLCA
TCGA-5N-A9KI-01A	0.28858	Tumor	BLCA
TCGA-XF-A8HF-01A	0.6473231	Tumor	BLCA
TCGA-UY-A78L-01A	0.3436171	Tumor	BLCA
TCGA-FD-A5C0-01A	0.577786684	Tumor	BLCA
TCGA-UY-A9PE-01A	0.321449842	Tumor	BLCA
TCGA-K4-A6FZ-01A	0.648006529	Tumor	BLCA
TCGA-DK-A3IK-01A	0.3266066	Tumor	BLCA
TCGA-LC-A66R-01A	1.253541015	Tumor	BLCA
TCGA-GU-A762-01A	0.61319166	Tumor	BLCA
TCGA-BT-A2LB-11A	1.197445	Normal	BLCA
TCGA-4Z-AA7O-01A	0.592594774	Tumor	BLCA
TCGA-DK-A6B5-01A	0.06690802	Tumor	BLCA
TCGA-C4-A0F0-01A	0.904554074	Tumor	BLCA
TCGA-UY-A78N-01A	0.3986912	Tumor	BLCA
TCGA-G2-AA3F-01A	0.2797975	Tumor	BLCA
TCGA-ZF-AA53-01A	1.573718055	Tumor	BLCA
TCGA-LT-A8JT-01A	0.6170691	Tumor	BLCA
TCGA-XF-A8HI-01A	0.910990029	Tumor	BLCA
TCGA-FJ-A3ZE-01A	0.4455476	Tumor	BLCA
TCGA-FD-A3SM-01A	0.508807906	Tumor	BLCA
TCGA-DK-AA6X-01A	0.669904203	Tumor	BLCA
TCGA-XF-A9SJ-01A	4.553936	Tumor	BLCA
TCGA-CF-A7I0-01A	1.573392909	Tumor	BLCA
