ID	ABCG1	ABCG2	ABCG4	ABCG5	ABCG8	Type	CancerType
TCGA-XF-AAMQ-01A	3.700607	0.8311712	0.03141228	0	0	Tumor	BLCA
TCGA-CF-A3MH-01A	3.277725158	0.470687218	0.042020172	0.013009763	0	Tumor	BLCA
TCGA-DK-AA6W-01A	1.590856455	0.246908516	0.452889365	0.148109576	0.013544161	Tumor	BLCA
TCGA-KQ-A41O-01A	0.9422962	0.1156502	0.01633455	0.08947541	0.07531007	Tumor	BLCA
TCGA-FJ-A3Z7-01A	2.262179	2.743298	0.2272591	0.02833544	0.1425122	Tumor	BLCA
TCGA-S5-AA26-01A	1.516739	0.3542434	0.02054705	0.05700076	0.03210355	Tumor	BLCA
TCGA-FD-A3B4-01A	2.442762	0.4369828	0.1158726	0.02722673	0	Tumor	BLCA
TCGA-GC-A3OO-01A	1.831359704	0.396199906	0.043400951	0	0	Tumor	BLCA
TCGA-XF-A9SP-01A	2.313989204	0.613334738	0.257272194	0.072615541	0.012936367	Tumor	BLCA
TCGA-FD-A3SL-01A	2.342434	0.7707556	0.03244897	0.03898335	0.07522498	Tumor	BLCA
TCGA-FD-A6TB-01A	3.100053	0.3161496	0.05898683	0.1269731	0.1450357	Tumor	BLCA
TCGA-FD-A6TA-01A	3.26268736	0.502957038	0.045230939	0.075448324	0.013451931	Tumor	BLCA
TCGA-XF-A8HB-01A	4.202784	0.7921422	0.0419261	0.06376445	0.09678344	Tumor	BLCA
TCGA-UY-A8OB-01A	3.530721786	1.844906966	0.019105182	0	0	Tumor	BLCA
TCGA-GU-A767-01A	2.137721815	1.585623332	0.08005196	0.132487997	0	Tumor	BLCA
TCGA-FD-A43U-01A	2.28613779	0.304045441	0.127493494	0.073022104	0.133073792	Tumor	BLCA
TCGA-DK-AA6T-01A	3.438730659	1.921948029	0.021974268	0.018543676	0.012967385	Tumor	BLCA
TCGA-5N-A9KI-01A	1.958787	0.28858	0.01817936	0.07510991	0.01072216	Tumor	BLCA
TCGA-XF-A8HF-01A	1.76612	0.6473231	0.07745018	0.2246718	0.1340009	Tumor	BLCA
TCGA-UY-A78L-01A	3.674346	0.3436171	0.0517541	0.06022198	0	Tumor	BLCA
TCGA-FD-A5C0-01A	4.754421219	0.577786684	0.018660354	0.015744306	0	Tumor	BLCA
TCGA-UY-A9PE-01A	2.971704607	0.321449842	0.059643071	0.139660427	0.311739944	Tumor	BLCA
TCGA-K4-A6FZ-01A	2.631018033	0.648006529	0.06860797	0.006220791	0.008676039	Tumor	BLCA
TCGA-DK-A3IK-01A	2.979019	0.3266066	0.1195822	0.1162025	0.1597365	Tumor	BLCA
TCGA-LC-A66R-01A	3.176331612	1.253541015	0.056964026	0.027717248	0	Tumor	BLCA
TCGA-GU-A762-01A	2.18816881	0.61319166	0.104792501	0.069973315	0.022070597	Tumor	BLCA
TCGA-BT-A2LB-11A	1.845116	1.197445	0.150182	0.01207733	0	Normal	BLCA
TCGA-4Z-AA7O-01A	2.825656879	0.592594774	0.020831657	0	0	Tumor	BLCA
TCGA-DK-A6B5-01A	3.339132	0.06690802	0.07371785	0.1338446	0.1438603	Tumor	BLCA
TCGA-C4-A0F0-01A	1.423266282	0.904554074	0.013171295	0.011109719	0	Tumor	BLCA
TCGA-UY-A78N-01A	1.30792	0.3986912	0.0432248	0.1888198	0.06425298	Tumor	BLCA
TCGA-G2-AA3F-01A	1.869293	0.2797975	0.1890381	0.03818252	0.05302307	Tumor	BLCA
TCGA-ZF-AA53-01A	2.246845603	1.573718055	0.193336418	0.02163476	0	Tumor	BLCA
TCGA-LT-A8JT-01A	4.287956	0.6170691	0.01690937	0.0493244	0	Tumor	BLCA
TCGA-XF-A8HI-01A	2.439851396	0.910990029	0.015666357	0.017594617	0.060489517	Tumor	BLCA
TCGA-FJ-A3ZE-01A	2.600011	0.4455476	0.04019818	0.04731745	0.03786678	Tumor	BLCA
TCGA-FD-A3SM-01A	1.530506357	0.508807906	0.074523905	0.007145067	0	Tumor	BLCA
TCGA-DK-AA6X-01A	2.152163559	0.669904203	0.06864663	0.10014604	0.060741952	Tumor	BLCA
TCGA-XF-A9SJ-01A	2.782699	4.553936	0.2191161	0.01724012	0.01205419	Tumor	BLCA
TCGA-CF-A7I0-01A	3.732087238	1.573392909	0.073184631	0.017966794	0	Tumor	BLCA
TCGA-GD-A3OQ-01A	2.942216763	0.360795306	0.063332443	0.011443012	0	Tumor	BLCA
TCGA-CU-A0YO-01A	2.828852	0.9582831	0.005223094	0.01753461	0.02441762	Tumor	BLCA
TCGA-DK-AA71-01A	4.064982237	0.52374048	0.030957259	0.03130795	0.01465186	Tumor	BLCA
